"drug"	"disease"	"probs"	"Drug name"	"OMIM disease name"
"DB00819"	"210050"	"0.956776214"	"Acetazolamide"	"Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification"
"DB00316"	"252320"	"0.945257264"	"Acetaminophen"	"Motor Neuropathy, Peripheral, With Dysautonomia"
"DB00819"	"608622"	"0.933259322"	"Acetazolamide"	"Hypertension, Diastolic, Resistance To"
"DB00321"	"600082"	"0.920429798"	"Amitriptyline"	"Prostatic Hyperplasia, Benign; Bph"
"DB00321"	"607499"	"0.918064901"	"Amitriptyline"	"Bulimia Nervosa, Susceptibility To, 1; Buln1"
"DB00915"	"157950"	"0.907764968"	"Amantadine"	"Permanent Molars, Secondary Retention Of"
"DB00819"	"157300"	"0.906293052"	"Acetazolamide"	"Migraine With Or Without Aura, Susceptibility To, 1"
"DB00915"	"190300"	"0.903698014"	"Amantadine"	"Tremor, Hereditary Essential, 1; Etm1"
"DB00969"	"600351"	"0.89633065"	"Alosetron"	"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
"DB00819"	"604827"	"0.894818365"	"Acetazolamide"	"Epilepsy, Idiopathic Generalized, Susceptibility To, 7; Eig7"
"DB00316"	"607850"	"0.886044574"	"Acetaminophen"	"Osteoarthritis Susceptibility 3; Os3"
"DB00787"	"145590"	"0.882950833"	"Aciclovir"	"Hyperthermia, Cutaneous, With Headaches And Nausea"
"DB00210"	"106400"	"0.882742201"	"Adapalene"	"Ankylosing Vertebral Hyperostosis With Tylosis"
"DB00321"	"143465"	"0.878924819"	"Amitriptyline"	"Attention Deficit-Hyperactivity Disorder; Adhd"
"DB00915"	"110100"	"0.877905962"	"Amantadine"	"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
"DB00316"	"601042"	"0.874661584"	"Acetaminophen"	"Choreoathetosis/Spasticity, Episodic; Cse"
"DB00437"	"109350"	"0.871431627"	"Allopurinol"	"Gastroesophageal Reflux"
"DB00321"	"192000"	"0.869676051"	"Amitriptyline"	"Uterine Anomalies"
"DB00819"	"164230"	"0.868184392"	"Acetazolamide"	"Obsessive-Compulsive Disorder; Ocd"
"DB00915"	"181500"	"0.867755331"	"Amantadine"	"Schizophrenia; Sczd"
"DB00316"	"143465"	"0.867041286"	"Acetaminophen"	"Attention Deficit-Hyperactivity Disorder; Adhd"
"DB00819"	"161900"	"0.859648168"	"Acetazolamide"	"Renal Failure, Progressive, With Hypertension"
"DB00819"	"167870"	"0.856435887"	"Acetazolamide"	"Panic Disorder 1; Pand1"
"DB00787"	"136200"	"0.855708461"	"Aciclovir"	"Flushing Of Ears And Somnolence"
"DB00316"	"165720"	"0.855460515"	"Acetaminophen"	"Osteoarthritis Susceptibility 1; Os1"
"DB00357"	"109350"	"0.855031761"	"Aminoglutethimide"	"Gastroesophageal Reflux"
"DB00346"	"179600"	"0.853478103"	"Alfuzosin"	"Raynaud Disease"
"DB00210"	"173200"	"0.850626037"	"Adapalene"	"Pityriasis Rubra Pilaris"
"DB00316"	"179600"	"0.847476268"	"Acetaminophen"	"Raynaud Disease"
"DB00210"	"144110"	"0.845043331"	"Adapalene"	"Hyperhidrosis Palmaris Et Plantaris"
"DB00321"	"109350"	"0.844745582"	"Amitriptyline"	"Gastroesophageal Reflux"
"DB00915"	"215140"	"0.843489321"	"Amantadine"	"Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia"
"DB00381"	"601367"	"0.833242449"	"Amlodipine"	"Stroke, Ischemic"
"DB00321"	"600631"	"0.8326117"	"Amitriptyline"	"Enuresis, Nocturnal, 1; Enur1"
"DB00321"	"600808"	"0.832578644"	"Amitriptyline"	"Enuresis, Nocturnal, 2; Enur2"
"DB00381"	"157300"	"0.828712497"	"Amlodipine"	"Migraine With Or Without Aura, Susceptibility To, 1"
"DB00819"	"189800"	"0.828511072"	"Acetazolamide"	"Preeclampsia/Eclampsia 1; Pee1"
"DB00316"	"164230"	"0.827340144"	"Acetaminophen"	"Obsessive-Compulsive Disorder; Ocd"
"DB00321"	"167870"	"0.826572898"	"Amitriptyline"	"Panic Disorder 1; Pand1"
"DB00819"	"607499"	"0.824386398"	"Acetazolamide"	"Bulimia Nervosa, Susceptibility To, 1; Buln1"
"DB00969"	"147530"	"0.821485648"	"Alosetron"	"Insensitivity To Pain With Hyperplastic Myelinopathy"
"DB00437"	"256370"	"0.814592985"	"Allopurinol"	"Nephrotic Syndrome, Early-Onset, With Diffuse Mesangial Sclerosis"
"DB00321"	"115000"	"0.811337498"	"Amitriptyline"	"Cardiac Arrhythmia"
"DB00787"	"144110"	"0.810296877"	"Aciclovir"	"Hyperhidrosis Palmaris Et Plantaris"
"DB00321"	"226150"	"0.801688278"	"Amitriptyline"	"Enterocolitis"
"DB00316"	"102300"	"0.800488795"	"Acetaminophen"	"Restless Legs Syndrome, Susceptibility To, 1; Rls1"
"DB00437"	"161900"	"0.799975145"	"Allopurinol"	"Renal Failure, Progressive, With Hypertension"
"DB00357"	"145590"	"0.799858888"	"Aminoglutethimide"	"Hyperthermia, Cutaneous, With Headaches And Nausea"
"DB00316"	"208230"	"0.796480132"	"Acetaminophen"	"Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac"
"DB00404"	"190300"	"0.791360436"	"Alprazolam"	"Tremor, Hereditary Essential, 1; Etm1"
"DB00357"	"104130"	"0.791115054"	"Aminoglutethimide"	"Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality"
"DB00918"	"147530"	"0.790519447"	"Almotriptan"	"Insensitivity To Pain With Hyperplastic Myelinopathy"
"DB00819"	"103780"	"0.78761637"	"Acetazolamide"	"Alcohol Dependence"
"DB00819"	"121201"	"0.785335006"	"Acetazolamide"	"Epilepsy, Benign Neonatal, 2; Ebn2"
"DB00316"	"167870"	"0.784759625"	"Acetaminophen"	"Panic Disorder 1; Pand1"
"DB00819"	"190310"	"0.781673485"	"Acetazolamide"	"Tremor, Nystagmus, And Duodenal Ulcer"
"DB00381"	"167870"	"0.780357514"	"Amlodipine"	"Panic Disorder 1; Pand1"
"DB00404"	"147530"	"0.776962056"	"Alprazolam"	"Insensitivity To Pain With Hyperplastic Myelinopathy"
"DB00210"	"148100"	"0.77588381"	"Adapalene"	"Keloids"
"DB00316"	"160300"	"0.77571597"	"Acetaminophen"	"Myopathy, Distal, With Onset In Infancy"
"DB00316"	"190300"	"0.775184188"	"Acetaminophen"	"Tremor, Hereditary Essential, 1; Etm1"
"DB00357"	"276300"	"0.774315194"	"Aminoglutethimide"	"Mismatch Repair Cancer Syndrome"
"DB00346"	"252320"	"0.770806308"	"Alfuzosin"	"Motor Neuropathy, Peripheral, With Dysautonomia"
"DB00381"	"103780"	"0.76817134"	"Amlodipine"	"Alcohol Dependence"
"DB00357"	"161900"	"0.766108724"	"Aminoglutethimide"	"Renal Failure, Progressive, With Hypertension"
"DB00787"	"104130"	"0.762374976"	"Aciclovir"	"Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality"
"DB00346"	"167870"	"0.762282291"	"Alfuzosin"	"Panic Disorder 1; Pand1"
"DB00819"	"121200"	"0.762026085"	"Acetazolamide"	"Epilepsy, Benign Neonatal, 1; Ebn1"
"DB00346"	"192000"	"0.760411026"	"Alfuzosin"	"Uterine Anomalies"
"DB00210"	"145200"	"0.759460737"	"Adapalene"	"Hyperpigmentation Of Fuldauer And Kuijpers"
"DB00819"	"607628"	"0.75817994"	"Acetazolamide"	"Epilepsy, Idiopathic Generalized, Susceptibility To, 11; Eig11"
"DB00321"	"191800"	"0.754169203"	"Amitriptyline"	"Urinary Bladder, Atony Of"
"DB00381"	"252320"	"0.752986343"	"Amlodipine"	"Motor Neuropathy, Peripheral, With Dysautonomia"
"DB00404"	"601042"	"0.749430701"	"Alprazolam"	"Choreoathetosis/Spasticity, Episodic; Cse"
"DB00357"	"600263"	"0.749150311"	"Aminoglutethimide"	"Helicobacter Pylori Infection, Susceptibility To"
"DB00437"	"144110"	"0.74905149"	"Allopurinol"	"Hyperhidrosis Palmaris Et Plantaris"
"DB00210"	"602068"	"0.748344357"	"Adapalene"	"Leishmaniasis, Tegumentary, Susceptibility To"
"DB00381"	"147530"	"0.748233166"	"Amlodipine"	"Insensitivity To Pain With Hyperplastic Myelinopathy"
"DB00316"	"190310"	"0.745573766"	"Acetaminophen"	"Tremor, Nystagmus, And Duodenal Ulcer"
"DB01223"	"600351"	"0.743937604"	"Aminophylline"	"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
"DB01193"	"157700"	"0.740470414"	"Acebutolol"	"Mitral Valve Prolapse, Familial; Mvp"
"DB00182"	"147530"	"0.740173869"	"Amphetamine"	"Insensitivity To Pain With Hyperplastic Myelinopathy"
"DB00915"	"266600"	"0.739835017"	"Amantadine"	"Inflammatory Bowel Disease 1; Ibd1"
"DB00316"	"136200"	"0.737837969"	"Acetaminophen"	"Flushing Of Ears And Somnolence"
"DB00819"	"607498"	"0.736192659"	"Acetazolamide"	"Migraine With Or Without Aura, Susceptibility To, 3"
"DB00915"	"160300"	"0.734200737"	"Amantadine"	"Myopathy, Distal, With Onset In Infancy"
"DB00437"	"600351"	"0.731982902"	"Allopurinol"	"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
"DB00915"	"600807"	"0.729510716"	"Amantadine"	"Asthma, Susceptibility To"
"DB00819"	"600131"	"0.727379051"	"Acetazolamide"	"Epilepsy, Childhood Absence, Susceptibility To, 1; Eca1"
"DB00915"	"208550"	"0.724610513"	"Amantadine"	"Asthma, Nasal Polyps, And Aspirin Intolerance"
"DB00316"	"144110"	"0.723534347"	"Acetaminophen"	"Hyperhidrosis Palmaris Et Plantaris"
"DB00819"	"607681"	"0.721832354"	"Acetazolamide"	"Epilepsy, Childhood Absence, Susceptibility To, 2; Eca2"
"DB00346"	"161900"	"0.721625995"	"Alfuzosin"	"Renal Failure, Progressive, With Hypertension"
"DB00321"	"256370"	"0.715667595"	"Amitriptyline"	"Nephrotic Syndrome, Early-Onset, With Diffuse Mesangial Sclerosis"
"DB00819"	"607682"	"0.714040452"	"Acetazolamide"	"Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9"
"DB00969"	"607499"	"0.713084498"	"Alosetron"	"Bulimia Nervosa, Susceptibility To, 1; Buln1"
"DB00316"	"173200"	"0.71225649"	"Acetaminophen"	"Pityriasis Rubra Pilaris"
"DB00819"	"607631"	"0.70788774"	"Acetazolamide"	"Epilepsy, Juvenile Absence, Susceptibility To, 1; Eja1"
"DB00787"	"125600"	"0.706026773"	"Aciclovir"	"Dermatosis Papulosa Nigra"
"DB00316"	"607499"	"0.704480663"	"Acetaminophen"	"Bulimia Nervosa, Susceptibility To, 1; Buln1"
"DB00346"	"115000"	"0.703426839"	"Alfuzosin"	"Cardiac Arrhythmia"
"DB00787"	"157950"	"0.702730217"	"Aciclovir"	"Permanent Molars, Secondary Retention Of"
"DB00346"	"256370"	"0.701231906"	"Alfuzosin"	"Nephrotic Syndrome, Early-Onset, With Diffuse Mesangial Sclerosis"
"DB00357"	"171300"	"0.699196754"	"Aminoglutethimide"	"Pheochromocytoma"
"DB00210"	"136200"	"0.699132859"	"Adapalene"	"Flushing Of Ears And Somnolence"
"DB00321"	"602068"	"0.697228145"	"Amitriptyline"	"Leishmaniasis, Tegumentary, Susceptibility To"
"DB00819"	"608217"	"0.696298279"	"Acetazolamide"	"Epilepsy, Benign Neonatal, 3; Ebn3"
"DB00316"	"607459"	"0.695117562"	"Acetaminophen"	"Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando"
"DB00321"	"181460"	"0.694779835"	"Amitriptyline"	"Schistosoma Mansoni Infection, Susceptibility/Resistance To"
"DB00819"	"109350"	"0.693986011"	"Acetazolamide"	"Gastroesophageal Reflux"
"DB00321"	"190400"	"0.693208444"	"Amitriptyline"	"Trigeminal Neuralgia"
"DB00437"	"115000"	"0.692886217"	"Allopurinol"	"Cardiac Arrhythmia"
"DB00316"	"161900"	"0.691631617"	"Acetaminophen"	"Renal Failure, Progressive, With Hypertension"
"DB00969"	"208550"	"0.691443533"	"Alosetron"	"Asthma, Nasal Polyps, And Aspirin Intolerance"
"DB00316"	"200170"	"0.690896361"	"Acetaminophen"	"Acanthosis Nigricans With Muscle Cramps And Acral Enlargement"
"DB00819"	"605055"	"0.690659971"	"Acetazolamide"	"Alzheimer Disease, Familial Early-Onset, With Coexisting Amyloid And"
"DB00357"	"147530"	"0.690501979"	"Aminoglutethimide"	"Insensitivity To Pain With Hyperplastic Myelinopathy"
"DB00819"	"125851"	"0.689942086"	"Acetazolamide"	"Maturity-Onset Diabetes Of The Young, Type 2; Mody2"
"DB00787"	"110100"	"0.689456018"	"Aciclovir"	"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
"DB00819"	"608033"	"0.685585428"	"Acetazolamide"	"Encephalopathy, Acute Necrotizing 1, Susceptibility To; Ane1"
"DB00316"	"109350"	"0.684943137"	"Acetaminophen"	"Gastroesophageal Reflux"
"DB00969"	"144110"	"0.684343185"	"Alosetron"	"Hyperhidrosis Palmaris Et Plantaris"
"DB00819"	"264120"	"0.679343197"	"Acetazolamide"	"Prolactin Deficiency With Obesity And Enlarged Testes"
"DB00787"	"208550"	"0.678663645"	"Aciclovir"	"Asthma, Nasal Polyps, And Aspirin Intolerance"
"DB00404"	"145590"	"0.677899395"	"Alprazolam"	"Hyperthermia, Cutaneous, With Headaches And Nausea"
"DB00915"	"600263"	"0.677214478"	"Amantadine"	"Helicobacter Pylori Infection, Susceptibility To"
"DB01193"	"110100"	"0.676787184"	"Acebutolol"	"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
"DB00437"	"600082"	"0.676732724"	"Allopurinol"	"Prostatic Hyperplasia, Benign; Bph"
"DB00819"	"125850"	"0.676561644"	"Acetazolamide"	"Maturity-Onset Diabetes Of The Young, Type 1; Mody1"
"DB00381"	"171300"	"0.676559456"	"Amlodipine"	"Pheochromocytoma"
"DB00357"	"157300"	"0.676141747"	"Aminoglutethimide"	"Migraine With Or Without Aura, Susceptibility To, 1"
"DB00819"	"145500"	"0.675436066"	"Acetazolamide"	"Hypertension, Essential"
"DB00819"	"601665"	"0.674733379"	"Acetazolamide"	"Obesity"
"DB01223"	"164230"	"0.671350018"	"Aminophylline"	"Obsessive-Compulsive Disorder; Ocd"
"DB00819"	"607501"	"0.666122051"	"Acetazolamide"	"Migraine Without Aura, Susceptibility To, 4"
"DB00357"	"115645"	"0.666090323"	"Aminoglutethimide"	"Cataract, Aberrant Oral Frenula, And Growth Retardation"
"DB00819"	"600803"	"0.665786872"	"Acetazolamide"	"Gallbladder Disease 1; Gbd1"
"DB00381"	"188050"	"0.66534774"	"Amlodipine"	"Thrombosis, Susceptibility To"
"DB00381"	"146255"	"0.664684227"	"Amlodipine"	"Hypoparathyroidism, Sensorineural Deafness, And Renal Disease"
"DB00819"	"208550"	"0.664491914"	"Acetazolamide"	"Asthma, Nasal Polyps, And Aspirin Intolerance"
"DB00182"	"137580"	"0.662704069"	"Amphetamine"	"Gilles De La Tourette Syndrome; Gts"
"DB00819"	"605021"	"0.660097533"	"Acetazolamide"	"Myoclonic Epilepsy, Infantile"
"DB00346"	"143465"	"0.658871134"	"Alfuzosin"	"Attention Deficit-Hyperactivity Disorder; Adhd"
"DB00915"	"217150"	"0.65675314"	"Amantadine"	"Contractures, Congenital, Torticollis, And Malignant Hyperthermia"
"DB00357"	"114480"	"0.656472711"	"Aminoglutethimide"	"Breast Cancer"
"DB00357"	"176807"	"0.655772789"	"Aminoglutethimide"	"Prostate Cancer"
"DB00787"	"157700"	"0.655396684"	"Aciclovir"	"Mitral Valve Prolapse, Familial; Mvp"
"DB00915"	"137580"	"0.655235381"	"Amantadine"	"Gilles De La Tourette Syndrome; Gts"
"DB00819"	"256370"	"0.653573547"	"Acetazolamide"	"Nephrotic Syndrome, Early-Onset, With Diffuse Mesangial Sclerosis"
"DB00210"	"125600"	"0.653302254"	"Adapalene"	"Dermatosis Papulosa Nigra"
"DB01143"	"215140"	"0.653101104"	"Amifostine"	"Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia"
"DB00357"	"600351"	"0.652184018"	"Aminoglutethimide"	"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
"DB00210"	"215140"	"0.651856446"	"Adapalene"	"Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia"
"DB00819"	"125320"	"0.649976932"	"Acetazolamide"	"Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques"
"DB00915"	"179600"	"0.649809305"	"Amantadine"	"Raynaud Disease"
"DB00915"	"143465"	"0.646988307"	"Amantadine"	"Attention Deficit-Hyperactivity Disorder; Adhd"
"DB00915"	"601042"	"0.646763523"	"Amantadine"	"Choreoathetosis/Spasticity, Episodic; Cse"
"DB00819"	"600496"	"0.646022429"	"Acetazolamide"	"Maturity-Onset Diabetes Of The Young, Type 3; Mody3"
"DB00969"	"157300"	"0.646014191"	"Alosetron"	"Migraine With Or Without Aura, Susceptibility To, 1"
"DB00321"	"136200"	"0.645667383"	"Amitriptyline"	"Flushing Of Ears And Somnolence"
"DB00346"	"608622"	"0.645209559"	"Alfuzosin"	"Hypertension, Diastolic, Resistance To"
"DB00381"	"189800"	"0.645057434"	"Amlodipine"	"Preeclampsia/Eclampsia 1; Pee1"
"DB00404"	"143465"	"0.644640723"	"Alprazolam"	"Attention Deficit-Hyperactivity Disorder; Adhd"
"DB01223"	"608622"	"0.64292551"	"Aminophylline"	"Hypertension, Diastolic, Resistance To"
"DB00915"	"208230"	"0.642475623"	"Amantadine"	"Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac"
"DB00404"	"179600"	"0.634269022"	"Alprazolam"	"Raynaud Disease"
"DB00819"	"166300"	"0.634256992"	"Acetazolamide"	"Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy"
"DB00357"	"208550"	"0.634032039"	"Aminoglutethimide"	"Asthma, Nasal Polyps, And Aspirin Intolerance"
"DB00819"	"254770"	"0.633217862"	"Acetazolamide"	"Epilepsy, Myoclonic Juvenile; Ejm"
"DB00915"	"164230"	"0.631467754"	"Amantadine"	"Obsessive-Compulsive Disorder; Ocd"
"DB00437"	"226150"	"0.630948175"	"Allopurinol"	"Enterocolitis"
"DB00357"	"110100"	"0.630772179"	"Aminoglutethimide"	"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
"DB00381"	"190300"	"0.628477164"	"Amlodipine"	"Tremor, Hereditary Essential, 1; Etm1"
"DB00819"	"144650"	"0.627172016"	"Acetazolamide"	"Hyperlipoproteinemia, Type V"
"DB00346"	"608320"	"0.62120873"	"Alfuzosin"	"Coronary Artery Disease, Autosomal Dominant, 1; Adcad1"
"DB00787"	"215140"	"0.62027267"	"Aciclovir"	"Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia"
"DB00819"	"300125"	"0.618856149"	"Acetazolamide"	"Migraine, Familial Typical, Susceptibility To, 2"
"DB00357"	"256370"	"0.618739332"	"Aminoglutethimide"	"Nephrotic Syndrome, Early-Onset, With Diffuse Mesangial Sclerosis"
"DB00969"	"144650"	"0.617629487"	"Alosetron"	"Hyperlipoproteinemia, Type V"
"DB00357"	"175505"	"0.616825803"	"Aminoglutethimide"	"Polyposis Of Gastric Fundus Without Polyposis Coli"
"DB00381"	"164230"	"0.616381088"	"Amlodipine"	"Obsessive-Compulsive Disorder; Ocd"
"DB01193"	"179600"	"0.616363649"	"Acebutolol"	"Raynaud Disease"
"DB00316"	"604416"	"0.615798434"	"Acetaminophen"	"Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne"
"DB00969"	"167870"	"0.615571682"	"Alosetron"	"Panic Disorder 1; Pand1"
"DB00915"	"304790"	"0.615534886"	"Amantadine"	"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
"DB00357"	"109800"	"0.61541891"	"Aminoglutethimide"	"Bladder Cancer"
"DB00819"	"600263"	"0.614957222"	"Acetazolamide"	"Helicobacter Pylori Infection, Susceptibility To"
"DB00321"	"190310"	"0.614654962"	"Amitriptyline"	"Tremor, Nystagmus, And Duodenal Ulcer"
"DB00787"	"252320"	"0.614539309"	"Aciclovir"	"Motor Neuropathy, Peripheral, With Dysautonomia"
"DB00381"	"166300"	"0.613313617"	"Amlodipine"	"Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy"
"DB00787"	"102100"	"0.609345386"	"Aciclovir"	"Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma"
"DB00787"	"601042"	"0.609005939"	"Aciclovir"	"Choreoathetosis/Spasticity, Episodic; Cse"
"DB00316"	"189600"	"0.608677079"	"Acetaminophen"	"Torticollis"
"DB00915"	"175100"	"0.608034399"	"Amantadine"	"Adenomatous Polyposis Of The Colon; Apc"
"DB00437"	"136200"	"0.607571195"	"Allopurinol"	"Flushing Of Ears And Somnolence"
"DB00819"	"300491"	"0.60408201"	"Acetazolamide"	"Epilepsy, X-Linked, With Variable Learning Disabilities And Behavior"
"DB00316"	"208550"	"0.603212011"	"Acetaminophen"	"Asthma, Nasal Polyps, And Aspirin Intolerance"
"DB00915"	"166300"	"0.601265429"	"Amantadine"	"Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy"
"DB00819"	"190400"	"0.598757205"	"Acetazolamide"	"Trigeminal Neuralgia"
"DB00210"	"276300"	"0.597773122"	"Adapalene"	"Mismatch Repair Cancer Syndrome"
"DB00357"	"136200"	"0.596773934"	"Aminoglutethimide"	"Flushing Of Ears And Somnolence"
"DB00316"	"168100"	"0.596582706"	"Acetaminophen"	"Paralysis Agitans, Juvenile, Of Hunt"
"DB00915"	"157700"	"0.596127251"	"Amantadine"	"Mitral Valve Prolapse, Familial; Mvp"
"DB00381"	"607554"	"0.594698388"	"Amlodipine"	"Atrial Fibrillation, Familial, 3; Atfb3"
"DB00787"	"109350"	"0.594502416"	"Aciclovir"	"Gastroesophageal Reflux"
"DB00915"	"147530"	"0.593151145"	"Amantadine"	"Insensitivity To Pain With Hyperplastic Myelinopathy"
"DB00787"	"212050"	"0.591961699"	"Aciclovir"	"Candidiasis, Familial, 2; Candf2"
"DB00787"	"115645"	"0.591137996"	"Aciclovir"	"Cataract, Aberrant Oral Frenula, And Growth Retardation"
"DB00437"	"189800"	"0.590717685"	"Allopurinol"	"Preeclampsia/Eclampsia 1; Pee1"
"DB01223"	"607499"	"0.590013687"	"Aminophylline"	"Bulimia Nervosa, Susceptibility To, 1; Buln1"
"DB00182"	"103780"	"0.589536352"	"Amphetamine"	"Alcohol Dependence"
"DB00381"	"601665"	"0.588320221"	"Amlodipine"	"Obesity"
"DB00819"	"607508"	"0.588027409"	"Acetazolamide"	"Migraine With Or Without Aura, Susceptibility To, 5"
"DB00915"	"103780"	"0.586459729"	"Amantadine"	"Alcohol Dependence"
"DB00404"	"103780"	"0.585294928"	"Alprazolam"	"Alcohol Dependence"
"DB01223"	"157300"	"0.584958542"	"Aminophylline"	"Migraine With Or Without Aura, Susceptibility To, 1"
"DB00918"	"145590"	"0.584428129"	"Almotriptan"	"Hyperthermia, Cutaneous, With Headaches And Nausea"
"DB00819"	"145590"	"0.584151867"	"Acetazolamide"	"Hyperthermia, Cutaneous, With Headaches And Nausea"
"DB00357"	"303110"	"0.584017022"	"Aminoglutethimide"	"Choroideremia With Deafness And Obesity"
"DB00437"	"109800"	"0.579074278"	"Allopurinol"	"Bladder Cancer"
"DB00437"	"147480"	"0.577947318"	"Allopurinol"	"Cholestasis, Intrahepatic, Of Pregnancy; Icp"
"DB00787"	"106400"	"0.577860424"	"Aciclovir"	"Ankylosing Vertebral Hyperostosis With Tylosis"
"DB00357"	"215140"	"0.577270762"	"Aminoglutethimide"	"Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia"
"DB01223"	"143465"	"0.574837967"	"Aminophylline"	"Attention Deficit-Hyperactivity Disorder; Adhd"
"DB00404"	"200170"	"0.574558669"	"Alprazolam"	"Acanthosis Nigricans With Muscle Cramps And Acral Enlargement"
"DB00357"	"133239"	"0.574019561"	"Aminoglutethimide"	"Esophageal Cancer"
"DB01223"	"103780"	"0.573597866"	"Aminophylline"	"Alcohol Dependence"
"DB00819"	"143465"	"0.571915259"	"Acetazolamide"	"Attention Deficit-Hyperactivity Disorder; Adhd"
"DB00915"	"161900"	"0.570901736"	"Amantadine"	"Renal Failure, Progressive, With Hypertension"
"DB01223"	"144110"	"0.570592869"	"Aminophylline"	"Hyperhidrosis Palmaris Et Plantaris"
"DB00381"	"215140"	"0.569835377"	"Amlodipine"	"Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia"
"DB00787"	"190300"	"0.569442094"	"Aciclovir"	"Tremor, Hereditary Essential, 1; Etm1"
"DB00381"	"145590"	"0.568124736"	"Amlodipine"	"Hyperthermia, Cutaneous, With Headaches And Nausea"
"DB00321"	"145590"	"0.568039017"	"Amitriptyline"	"Hyperthermia, Cutaneous, With Headaches And Nausea"
"DB00357"	"600807"	"0.567606007"	"Aminoglutethimide"	"Asthma, Susceptibility To"
"DB00357"	"217200"	"0.567278054"	"Aminoglutethimide"	"Convulsive Disorder, Familial, With Prenatal Or Early Onset"
"DB00915"	"140600"	"0.565697473"	"Amantadine"	"Osteoarthritis Susceptibility 2; Os2"
"DB00381"	"208550"	"0.565467581"	"Amlodipine"	"Asthma, Nasal Polyps, And Aspirin Intolerance"
"DB01223"	"147530"	"0.564818151"	"Aminophylline"	"Insensitivity To Pain With Hyperplastic Myelinopathy"
"DB00819"	"267740"	"0.563836949"	"Acetazolamide"	"Retinal Degeneration And Epilepsy"
"DB00787"	"145100"	"0.563593663"	"Aciclovir"	"Hyperpigmentation Of Eyelids"
"DB00915"	"102100"	"0.561462751"	"Amantadine"	"Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma"
"DB00316"	"217200"	"0.56077425"	"Acetaminophen"	"Convulsive Disorder, Familial, With Prenatal Or Early Onset"
"DB00969"	"109350"	"0.560604746"	"Alosetron"	"Gastroesophageal Reflux"
"DB00381"	"210050"	"0.56045298"	"Amlodipine"	"Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification"
"DB00357"	"304790"	"0.560084502"	"Aminoglutethimide"	"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
"DB00918"	"164230"	"0.55947514"	"Almotriptan"	"Obsessive-Compulsive Disorder; Ocd"
"DB00969"	"608622"	"0.558892349"	"Alosetron"	"Hypertension, Diastolic, Resistance To"
"DB00437"	"600263"	"0.557378999"	"Allopurinol"	"Helicobacter Pylori Infection, Susceptibility To"
"DB00357"	"135550"	"0.555682096"	"Aminoglutethimide"	"Fibromatosis, Gingival, With Progressive Deafness"
